"Timestamp","1) If you are below the age of 18, do you have parental consent to participating in this survey? ","2) What's your current level of study? ","What part of New York do you reside in? ","Please state your gender.","Please choose the ethnicity that most appropriately describes you.","How often do you use technology for fun? ","Has your use of technology for fun increased or decreased due to COVID? ","How do you spend time on the internet for fun? ","Why do you use social media? ","Do you ever feel any, or more of the following: ","What do you turn to when you experience the issues stated in the previous question? ","Do you agree with any of the following negative effects of technology? ","Do you agree with any of the following positive effects of technology?","How long do you use technology for academic purposes every day?","How productive would you rate yourself?","Has your productivity increased or decreased due to COVID?","How do you use the internet for academic purposes?","How do your parents feel about the change in your use of technology for academic purposes from pre-Covid to present? ","How often do you use technology to check the news?","Where do you get your news from?","What fake news/inaccurate resources have you been exposed to on the internet during the pandemic?","What are a few online services or examples that you trust/use to obtain covid information from?"
"2021/06/11 10:33:24 AM AST","Yes","12th grade","Bronx","Male","South-East Asian (India, Bangladesh, etc.)","About 1-3 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues;For academic purposes","I feel stressed;I feel lonely;I am worried about my family/ friends/ overseas family;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Talking to my parents;Listening to music;Watching TV","causes mental health issues","connecting with friends/family;learning new things","3-9 hours","5","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Documentaries;Wikipedia;Reading Research Articles","They feel I use technology more than I should/ more than I did before","Once a week","Social Medias","Facebook informed stated that the vaccine was open to people of all ages, but at the time, the vaccine was only open to specific persons.Facebook information seemed to be biased and fake.","GOOGLE, NY STATE WEBSITE"
"2021/06/11 10:33:27 AM AST","I am 18+","12th grade","Bronx","Female","South-East Asian (India, Bangladesh, etc.)","About 1-3 hours a day","Decreased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;to watch cooking videos ","I feel stressed;I feel lonely;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Listening to music;Watching TV;Homework/ School","unrealistic views;Spread of fake news/ misinformation","connecting with friends/family;self-expression;learning new things","3-9 hours","6","Increase","Online Classes/ Attending tutoring sessions/ review sessions","Neutral","never ","From friends and family","i’m not sure","www.cdc.gov"
"2021/06/11 10:36:06 AM AST","I am 18+","12th grade","Bronx","Male","Middle Eastern (Morocco, Egypt, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To be updated on current events and world issues","I am worried I don't get enough movement;I'm worried about what I consume","Clubs/ Extracurricular Activites","harms relationships/ lack of in-person contact;causes mental health issues;Spread of fake news/ misinformation","Keeps you entertained/upbe;self-expression;learning new things","3-9 hours","8","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Wikipedia;Virtual Contests/ competitions/ hackathons","Neutral","Every other day","Social Medias","Bill gates anti-vaxxers","Well known press companies like the New York Times for example."
"2021/06/11 10:36:52 AM AST","Yes","11th grade","Bronx","Female","South-East Asian (India, Bangladesh, etc.)","8-13 hours","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To comment on other people's lives","I feel stressed;I feel lonely;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Watching TV","Bullying/rumor spread;unrealistic views;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe","10-12 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Documentaries;Wikipedia;Virtual Libraries;Reading Research Articles;Virtual Contests/ competitions/ hackathons","They feel I use technology more than I should/ more than I did before","About every day","Newspapers (online or paper)","This isn’t necessarily propaganda or inaccurate resources, but on social media platforms like Instagram, it’s so common for someone to hack into your personal account (Instagram does ask for personal information, so assumably, a hacker has access to that as well) and message people with a certain link so they too can be easily breeched.","I trust cdc.org because they are a professional corporation. Social media isn’t a great place to receive any sort of vital information because people who are avid social media users can’t know any better, so I tend to stray away from using Twitter or Facebook for important updates on COVID. I do use the Apple News app sometimes."
"2021/06/11 10:38:41 AM AST","Yes","11th grade","Bronx","Female","Hispanic or Latino","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues;For academic purposes","I feel stressed;I am worried about school;I am worried I don't get enough movement;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Listening to music;Watching TV","harms relationships/ lack of in-person contact;causes distractions/addictions;causes mental health issues","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe","3-9 hours","7","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos;Documentaries","Neutral","About every day","Social Medias","I saw a Tik Tok that showed Vladimir Putin riding a bear. Although the editing was well done, I was surprised by the amount of people in the comments that actually believe the video was true. ","There’s a section on Twitter that’s dedicated to getting covid updates. I trust this since the information that’s on there mostly come from professionals and reliable articles. "
"2021/06/11 10:43:55 AM AST","Yes","11th grade","Bronx","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;For academic purposes","I feel stressed;I feel lonely;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Texting My Friends;Listening to music","harms relationships/ lack of in-person contact;unrealistic views;causes mental health issues","connecting with friends/family","3-9 hours","4","Decrease","Online Classes/ Attending tutoring sessions/ review sessions","They feel I use technology more than I should/ more than I did before","About every day","Social Medias","I saw fake donations for likes and shares","cdc"
"2021/06/11 10:48:10 AM AST","Yes","11th grade","Manhattan","Female","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 1-3 hours a day","About the same","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.)","To converse with my friends and family;To get the latest news on celebrities","I feel lonely;I'm worried about getting COVID;I am worried about school","Texting My Friends;Listening to music","unrealistic views;causes distractions/addictions;causes mental health issues","easier to find news/info;Meeting others with same interests;self-expression","1-2 hours","9","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Virtual Contests/ competitions/ hackathons","Positive","Once a week","Social Medias","Where covid19 started","Johns hopkins university covid info
L"
"2021/06/11 10:55:26 AM AST","Yes","11th grade","Bronx","Female","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues;To waste time","I feel stressed;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Listening to music;Watching TV;Gaming","unrealistic views;causes distractions/addictions;peer pressure","Keeps you entertained/upbe;learning new things","3-9 hours","5","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Wikipedia","They feel I use technology more than I should/ more than I did before","Rarely","I don't check the news","I don't really check the news.","The only online service I trust to obtain covid information from is the CDC website."
"2021/06/11 10:57:31 AM AST","Yes","9th grade","Brooklyn","Female","Middle Eastern (Morocco, Egypt, etc.)","About 1-3 hours a day","Decreased","Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family","I feel stressed;I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Reading;Workout/ exercise","unrealistic views;peer pressure;causes mental health issues;Spread of fake news/ misinformation","learning new things","3-9 hours","10","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles","They feel I use technology more than I should/ more than I did before","About every day","News Channels","Idk","Idk"
"2021/06/11 10:57:31 AM AST","I am 18+","12th grade","Bronx","Non-Binary","White American;Black or African American;Hispanic or Latino;European","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues;For academic purposes","I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Talking to my parents;Listening to music;Watching TV;Homework/ School;Clubs/ Extracurricular Activites;Reading;Workout/ exercise","unrealistic views;causes distractions/addictions","connecting with friends/family;easier to find news/info;Meeting others with same interests;Keeps you entertained/upbe;self-expression;getting support from others;learning new things","3-9 hours","8","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Documentaries;Wikipedia;Virtual Libraries;Reading Research Articles;Virtual Contests/ competitions/ hackathons","Neutral","About every day","News Channels","People opinions in certain matters","Sent by .gov"
"2021/06/11 11:05:54 AM AST","Yes","11th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues;For academic purposes","I feel stressed;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime","Social Media;Texting My Friends;Listening to music;Watching TV;Reading","Bullying/rumor spread;unrealistic views;causes mental health issues","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe","10-12 hours","8","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Virtual Libraries;Reading Research Articles;Virtual Contests/ competitions/ hackathons","They feel I use technology more than I should/ more than I did before","About every day","Social Medias","During the pandemic, India was suffering and there was a go fund me link spreading around. One of the links was fake and was an act to get money using the news as clickbait, so it wasn’t going to a real cause.","Doctor, the mount sinai near me, a friend of mine whose a frontline worker "
"2021/06/11 11:07:16 AM AST","Yes","11th grade","Bronx","Female","European","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues;To comment on other people's lives;For academic purposes","I feel stressed;I feel lonely;I am worried about school;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Watching TV","harms relationships/ lack of in-person contact;unrealistic views;causes distractions/addictions","connecting with friends/family;easier to find news/info;learning new things","3-9 hours","3","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","Neutral","About every day","News Channels","the palestine/ israel situation. many were twisting what was really going on and lied and didn’t account for the history","the new york times"
"2021/06/11 11:07:49 AM AST","Yes","11th grade","Manhattan","Male","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To be updated on current events and world issues","I feel stressed","Watching TV;Reading;Workout/ exercise","harms relationships/ lack of in-person contact;unrealistic views;causes distractions/addictions","connecting with friends/family;easier to find news/info;Meeting others with same interests;Keeps you entertained/upbe;self-expression;getting support from others;learning new things","3-9 hours","8","Decrease","Online Classes/ Attending tutoring sessions/ review sessions","Neutral","About every day","Social Medias","Not sure","Can’t remember "
"2021/06/11 11:09:32 AM AST","Yes","11th grade","Bronx","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;For academic purposes","I feel stressed;I am worried about school;I'm often sleepy/tired during the daytime;I'm worried about what I consume","Social Media;Texting My Friends;Watching TV;Homework/ School;Clubs/ Extracurricular Activites;Reading","Bullying/rumor spread;harms relationships/ lack of in-person contact;causes mental health issues","connecting with friends/family;Keeps you entertained/upbe;learning new things","10-12 hours","9","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos","Neutral","Every other day","Social Medias","I saw a few post of how the covid vaccine has metal in it which causes magenta to stick to you. ","I follow a few doctors who talk about the covid vaccine and other resources on Instagram and Tik Tok. "
"2021/06/11 11:19:19 AM AST","Yes","11th grade","Queens","Female","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues;To comment on other people's lives;For academic purposes","I feel stressed;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Texting My Friends;Talking to my parents;Watching TV;Homework/ School;Clubs/ Extracurricular Activites","harms relationships/ lack of in-person contact;causes distractions/addictions;causes mental health issues","connecting with friends/family;easier to find news/info;Meeting others with same interests","3-9 hours","7","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Documentaries;Virtual Libraries;Reading Research Articles","They feel I use technology more than I should/ more than I did before","About every day","News Channels","The vaccine contains a chip or that we apparently live in segregation because some places require masks or placed a vaccine mandate.","The CDC"
"2021/06/11 11:26:10 AM AST","Yes","11th grade","Bronx","Female","European","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues;For academic purposes","I feel stressed;I feel lonely;I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Talking to my parents;Listening to music;Watching TV;Homework/ School","Bullying/rumor spread;harms relationships/ lack of in-person contact;unrealistic views;causes distractions/addictions","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe;learning new things","10-12 hours","10","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Documentaries;Wikipedia;Reading Research Articles","They feel I use technology more than I should/ more than I did before","Every other day","I don't check the news","na","health websites "
"2021/06/11 11:40:20 AM AST","Yes","11th grade","Bronx","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To make new friends;To be updated on current events and world issues","I am worried about school;I'm worried about what I consume","Texting My Friends;Listening to music;Workout/ exercise","harms relationships/ lack of in-person contact;causes distractions/addictions;peer pressure","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe;learning new things","3-9 hours","6","Increase","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos","Positive","Every other day","Social Medias","All the vaccines are safe. Also not to wear any masks.","Nyc. Gov"
"2021/06/11 11:49:13 AM AST","Yes","11th grade","Manhattan","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To be updated on current events and world issues","I am worried about my family/ friends/ overseas family","Listening to music","harms relationships/ lack of in-person contact;causes distractions/addictions","connecting with friends/family;Meeting others with same interests;learning new things","1-2 hours","7","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","They feel I use technology more than I should/ more than I did before","Once a week","From friends and family","I don’t know yet.","The New York Times"
"2021/06/11 11:49:19 AM AST","Yes","11th grade","Bronx","Male","South-East Asian (India, Bangladesh, etc.)","About 1-3 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;For academic purposes","I feel stressed;I am worried about school","Social Media;Texting My Friends;Listening to music;Homework/ School;Clubs/ Extracurricular Activites;Workout/ exercise","Bullying/rumor spread;harms relationships/ lack of in-person contact;causes distractions/addictions;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe;self-expression;learning new things","3-9 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Documentaries","Neutral","About every day","Social Medias","I have seen fake posts about people’s death frequently. ","New York Times ."
"2021/06/11 12:32:12 PM AST","Yes","12th grade","Queens","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;For academic purposes","I feel stressed;I feel lonely;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Listening to music;Watching TV","Bullying/rumor spread;unrealistic views;causes distractions/addictions","connecting with friends/family;easier to find news/info;Meeting others with same interests;Keeps you entertained/upbe;self-expression;getting support from others;learning new things","3-9 hours","4","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Documentaries;Wikipedia","Neutral","About every day","Newspapers (online or paper)","I don’t really know","None come to mind"
"2021/06/11 12:38:22 PM AST","Yes","12th grade","Bronx","Male","Middle Eastern (Morocco, Egypt, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To get the latest news on celebrities","I feel stressed;I am worried I don't get enough movement;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Listening to music;Watching TV","Bullying/rumor spread;unrealistic views;causes distractions/addictions;peer pressure;causes mental health issues","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe;self-expression","1-2 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Wikipedia","Positive","About every day","Social Medias","no","twitter "
"2021/06/11 12:56:44 PM AST","Yes","11th grade","Buffalo NY","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family","I feel stressed;I feel lonely;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","playing games","Bullying/rumor spread;causes distractions/addictions;causes mental health issues","Keeps you entertained/upbe;self-expression;learning new things","3-9 hours","4","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Documentaries;Wikipedia;Virtual Libraries","They feel I use technology more than I should/ more than I did before","Every other day","Social Medias","I saw that the vaccine had microchips in it.","ABC news"
"2021/06/11 12:58:19 PM AST","Yes","10th grade","New York","Female","Black or African American","About 1-3 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To make new friends;To be updated on current events and world issues;For academic purposes","I feel stressed;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Watching TV;Reading;Workout/ exercise","Bullying/rumor spread;harms relationships/ lack of in-person contact;unrealistic views;causes distractions/addictions;peer pressure;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;Meeting others with same interests;Keeps you entertained/upbe;getting support from others","3-9 hours","9","Stayed the same","General school assignments;Wikipedia;Reading Research Articles","They feel I use technology more than I should/ more than I did before","Once a week","News Channels","Gay pride, false COVID information","Britannica "
"2021/06/11 1:08:17 PM AST","Yes","12th grade","Bronx","Male","Hispanic or Latino","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get the latest news on celebrities;To be updated on current events and world issues;For updates on tv shows and anime","I feel stressed;I feel lonely;I am worried about school","Social Media;Watching TV;Workout/ exercise","causes distractions/addictions;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Meeting others with same interests;Keeps you entertained/upbe;self-expression","3-9 hours","8","Increase","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos;Reading Research Articles","Neutral","About every day","Social Medias","Not much fake news but I did see a post that the vaccine is a tracker and can cause mental disease.","Google, cdc.gov, the news such as Chanel 12."
"2021/06/11 1:50:24 PM AST","Yes","11th grade","Bronx","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family","I feel stressed;I feel lonely;I'm constantly unmotivated or feeling down","gaming","harms relationships/ lack of in-person contact;causes distractions/addictions;causes mental health issues","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe","1-2 hours","3","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","Positive","Every other day","I don't check the news","i dont know","google"
"2021/06/11 2:01:25 PM AST","I am 18+","11th grade","Staten Island","Male","South-East Asian (India, Bangladesh, etc.)","5","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family","I am worried I don't get enough movement","Listening to music","Bullying/rumor spread;unrealistic views;causes distractions/addictions","connecting with friends/family;easier to find news/info;learning new things","3-9 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos","Neutral","Once a week","Social Medias","So back in april, this girl on tiktok was like shes like a psychic or smthn, and SHE WAS LIKE coronavirus is gonna end in september 2020, BUT IT DIDNT. ","World health organizers dashboard or world o meter live coronavirus update."
"2021/06/11 2:08:01 PM AST","Yes","11th grade","Bronx","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To be updated on current events and world issues;For academic purposes","I feel stressed;I feel lonely;I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Talking to my parents;Listening to music;Watching TV;Homework/ School;Clubs/ Extracurricular Activites;Reading;Workout/ exercise","Bullying/rumor spread;causes distractions/addictions;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe","3-9 hours","9","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Documentaries;Wikipedia;Virtual Libraries;Reading Research Articles;Virtual Contests/ competitions/ hackathons","Positive","About every day","Social Medias","The fake new I’ve been exposed to has been provided by the Israel government. They were making themselves look like a victim and not doing anything wrong in the current Palestinian crisis.","The New York Times."
"2021/06/11 2:09:19 PM AST","Yes","11th grade","Manhattan","Female","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 1-3 hours a day","About the same","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.)","To converse with my friends and family;To get the latest news on celebrities","I feel lonely;I'm worried about getting COVID;I am worried about school","Texting My Friends;Listening to music","unrealistic views;causes distractions/addictions;causes mental health issues","easier to find news/info;Meeting others with same interests;self-expression","1-2 hours","9","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Virtual Contests/ competitions/ hackathons","Positive","Once a week","Social Medias","Where covid19 started","Johns hopkins university covid info
L"
"2021/06/11 4:42:43 PM AST","Yes","12th grade","Bronx","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family","I am worried about my family/ friends/ overseas family;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume","Social Media;Texting My Friends;Listening to music;I reach out to my overseas family ","causes distractions/addictions;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;Keeps you entertained/upbe;getting support from others","1-2 hours","9","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Reading Research Articles","They feel I use technology more than I should/ more than I did before","About every day","Social Medias","I saw posts on Instagram that claimed the covid vaccine was developed too fast (In the span of 10 months) but i also saw posts saying that the vaccine has been in the process of development since 2003.","CDC"
